,Unnamed: 0,rank_order,rank,name,scores_overall,scores_overall_rank,scores_resources,scores_resources_rank,scores_engagement,scores_engagement_rank,scores_outcomes,scores_outcomes_rank,scores_environment,scores_environment_rank,nid,location,stats_fees_oos,stats_board,stats_salary,Chemical Engineering,Architecture,Psychology,General Engineering,Sociology,Electrical & Electronic Engineering,"Geology, Environmental, Earth & Marine Sciences",Computer Science,Chemistry,Accounting & Finance,"Art, Performing Arts & Design",Biological Sciences,Politics & International Studies (incl Development Studies),Civil Engineering,Agriculture & Forestry,Law,"Languages, Literature & Linguistics",Communication & Media Studies,Mechanical & Aerospace Engineering,Economics & Econometrics,Medicine & Dentistry,Physics & Astronomy,Geography,"History, Philosophy & Theology",Mathematics & Statistics,Business & Management,Other Health,Archaeology,Education,Veterinary Science,Sport Science,latitude,longitude
93,93,94,=93,Skidmore College,67.4,94,22.8,58,16.2,275,23.7,141,4.7,432,593669,New York,"$52,446","$14,004","$46,600",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,1,0,1,43.098732,-73.783985
94,94,95,95,University of Minnesota Twin Cities,67.2,95,15.7,277,17.2,56,29.3,63,5.0,378,677013,Minnesota,"$26,603","$9,852","$50,000",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44.9863392,-93.1794558
95,95,96,=96,Drexel University,67.0,96,20.7,95,16.8,115,22.4,169,7.0,121,699,Pennsylvania,"$52,002","$13,890","$66,000",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,1,1,39.9574,-75.19026706
96,96,97,=96,Oberlin College,67.0,97,22.8,56,15.9,354,22.9,158,5.3,340,593960,Ohio,"$53,460","$15,212","$40,433",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,41.2959178,-82.22146701
97,97,98,=96,University of Pittsburgh-Pittsburgh campus,67.0,98,18.3,153,16.8,128,27.2,81,4.7,431,524,Pennsylvania,"$30,642","$10,950","$51,133",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.44415295,-79.96243993
98,98,99,99,Occidental College,66.9,99,20.9,90,15.1,602,23.8,135,7.2,109,591989,California,"$52,838","$14,968","$49,600",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,0,0,1,34.12719495,-118.2099203
99,99,100,100,Dickinson College,66.8,100,21.3,82,14.5,718,26.5,89,4.6,439,594173,Pennsylvania,"$52,930","$13,236","$55,167",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,1,0,0,0,0,0,40.202811100000005,-77.19957448
100,100,101,=101,Gettysburg College,66.4,101,21.8,76,15.9,347,24.8,121,3.9,533,594200,Pennsylvania,"$52,640","$12,570","$54,033",0,0,1,0,1,0,1,0,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,1,1,1,1,0,1,39.83785770000001,-77.23958727
101,101,102,=101,Whitman College,66.4,102,22.8,59,15.9,368,23.8,137,3.9,544,594902,Washington,"$49,780","$12,524","$47,233",0,0,1,1,1,0,1,0,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,0,1,1,0,0,0,40.343957700000004,-74.6579438
102,102,103,103,Connecticut College,66.3,103,21.7,78,15.7,410,24.2,128,4.6,438,592100,Connecticut,"$52,850","$14,590","$53,333",0,1,1,0,1,0,0,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,0,1,0,0,41.378826000000004,-72.10513229
103,103,104,104,North Carolina State University,66.1,104,18.4,149,17.5,22,25.7,100,4.5,461,891,North Carolina,"$27,406","$10,854","$49,800",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,35.77184965,-78.67408695
104,104,105,=105,University of Connecticut,65.9,105,17.4,196,16.8,114,25.5,104,6.2,219,879,Connecticut,"$36,948","$12,514","$56,067",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,41.81127235,-72.25414491
105,105,106,=105,Penn State (Main campus),65.9,106,17.5,191,17.4,35,25.4,106,5.5,317,515,Pennsylvania,"$33,664","$11,280","$48,767",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.8034484,-77.85911884
106,106,107,=105,Stony Brook University,65.9,107,15.8,273,15.5,493,26.2,94,8.3,33,578,New York,"$26,767","$13,446","$55,900",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,40.9090809,-73.12055179999999
107,107,108,=105,Virginia Polytechnic Institute and State University,65.9,108,15.0,310,17.2,61,28.9,68,4.9,411,737,Virginia,"$31,014","$8,920","$60,667",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,37.21872455,-80.42542519
108,108,109,109,Brandeis University,65.7,109,21.9,72,15.6,439,22.0,187,6.3,206,614,Massachusetts,"$53,182","$14,906","$56,667",0,0,1,0,1,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,1,1,1,1,0,0,42.36650945,-71.25801965
109,109,110,110,University at Buffalo,65.5,110,19.1,125,16.5,181,22.6,163,7.3,101,670,New York,"$27,068","$12,477","$50,300",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,42.9551825,-78.81764795
110,110,111,=111,Colorado College,65.4,111,21.9,73,16.2,252,21.7,203,5.6,294,595268,Colorado,"$52,818","$12,076","$42,333",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,1,1,1,0,0,1,1,0,0,38.8480439,-104.82395090000001
111,111,112,=111,Trinity University,65.4,112,22.9,55,16.4,220,20.2,259,6.0,250,594731,Texas,"$41,344","$13,136","$54,500",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,0,0,1,0,0,29.461691300000002,-98.48350835
112,112,113,=113,University of the Pacific,65.3,113,19.2,123,15.8,392,23.3,145,7.0,126,591998,California,"$46,346","$13,356","$69,733",1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,37.98042375,-121.31284720000001
113,113,114,=113,Seattle University,65.3,114,17.7,180,16.2,274,23.7,140,7.6,79,594893,Washington,"$42,885","$12,072","$55,933",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,47.6093782,-122.31879840000002
114,114,115,115,Union College,65.1,115,21.4,81,14.9,660,25.1,111,3.7,565,593741,New York,"$53,490","$13,119","$64,200",1,0,1,0,1,1,1,1,1,0,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,0,1,1,0,0,0,42.81720665,-73.92870279
115,115,116,116,DePauw University,65.0,116,21.8,75,15.4,507,22.6,165,5.2,351,592481,Indiana,"$47,838","$12,529","$50,800",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,1,39.639767600000006,-86.861676
116,116,117,=117,Denison University,64.9,117,22.1,68,15.9,341,21.8,200,5.1,361,593912,Ohio,"$50,440","$12,330","$48,900",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,1,0,0,40.07300505,-82.52248588
117,117,118,=117,Howard University,64.9,118,23.2,50,15.3,550,20.0,265,6.4,192,131587,District of Columbia,"$25,697","$13,504","$47,333",1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,38.921525,-77.01953566
118,118,119,119,Worcester Polytechnic Institute,64.8,119,19.0,129,16.1,313,24.9,120,4.9,412,593006,Massachusetts,"$48,628","$14,218","$82,600",1,0,1,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,42.27451265,-71.80905947
119,119,120,120,Babson College,64.7,120,17.6,184,15.3,542,25.5,102,6.2,215,592868,Massachusetts,"$49,664","$15,838","$91,400",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,42.29497225,-71.26484582
120,120,121,121,Saint Louis University,64.6,121,23.4,46,16.7,150,20.1,264,4.4,477,131616,Missouri,"$42,166","$10,996","$54,900",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,38.6352837,-90.23167733
121,121,122,122,Rensselaer Polytechnic Institute,64.4,122,18.9,132,14.4,735,24.2,129,7.0,128,608,New York,"$52,305","$14,960","$79,833",1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,0,1,1,1,1,1,1,0,1,1,1,0,0,0,0,0,42.72992195,-73.67953982
122,122,123,=123,Indiana University Bloomington,64.3,123,14.6,334,16.9,97,27.8,75,4.9,400,587118,Indiana,"$34,845","$10,258","$46,167",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.1776209,-86.51609090000001
123,123,124,=123,Syracuse University,64.3,124,17.0,218,16.6,176,24.9,119,5.8,277,1020,New York,"$46,755","$15,558","$59,033",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,43.03830645,-76.13330883
124,124,125,125,College of the Holy Cross,64.2,125,21.4,80,15.2,569,24.3,127,3.3,615,592916,Massachusetts,"$50,630","$13,690","$66,433",0,0,1,0,1,0,0,0,1,0,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,42.23677505,-71.80707989
125,125,126,126,University of Utah,64.1,126,15.0,309,17.3,47,27.1,84,4.8,421,577,Utah,"$28,127","$9,867","$51,167",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,40.7628137,-111.8368719
126,126,127,=127,Creighton University,64.0,127,20.8,92,16.7,138,23.0,152,3.5,590,697,Nebraska,"$38,750","$10,702","$57,633",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,1,41.26585655,-95.94505554
127,127,128,=127,Simmons University,64.0,128,20.3,106,15.4,527,22.6,167,5.7,291,592970,Massachusetts,"$39,610","$14,800","$51,833",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,42.33893545,-71.10043184
128,128,129,129,Villanova University,63.8,129,19.0,128,16.4,221,25.4,107,3.0,652,594383,Pennsylvania,"$51,284","$13,547","$75,433",1,0,1,0,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,40.0367774,-75.34202332
129,129,130,130,Rutgers University-New Brunswick,63.6,130,14.5,342,16.2,269,25.0,114,8.0,53,670638,New Jersey,"$30,579","$12,452","$56,267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40.50007595,-74.44579152
130,130,131,=131,American University,63.4,131,17.2,206,15.3,540,24.9,115,6.1,233,131636,District of Columbia,"$46,615","$15,898","$58,700",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,38.93804505,-77.08939224
131,131,132,=131,University of Denver,63.4,132,19.5,117,15.8,378,23.2,148,4.9,398,589304,Colorado,"$48,669","$12,612","$54,000",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,39.6852626,-104.9647861
132,132,133,133,Wheaton College (Massachusetts),63.3,133,20.4,104,16.1,309,21.4,218,5.4,336,593000,Massachusetts,"$50,850","$12,968","$46,133",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,41.9670817,-71.18309318
133,133,134,=134,Bentley University,63.2,134,18.0,161,15.9,333,24.3,125,4.9,393,592877,Massachusetts,"$48,000","$15,720","$81,467",0,0,0,0,0,0,0,1,0,1,1,0,1,0,0,1,1,1,0,0,0,0,0,1,1,1,0,0,0,0,0,42.3858974,-71.22206806
134,134,135,=134,Rhodes College,63.2,135,20.7,96,15.2,574,23.4,143,3.8,552,594560,Tennessee,"$46,504","$11,290","$51,667",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,0,0,0,0,35.15564375,-89.98893549
135,135,136,136,University of Arizona,63.0,136,13.7,378,17.0,76,25.1,110,7.2,107,561,Arizona,"$32,429","$12,300","$45,700",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,32.22877495,-110.9768841
136,136,137,=137,Illinois Institute of Technology,62.9,137,17.8,170,14.6,704,22.3,172,8.2,35,1028,Illinois,"$45,253","$13,007","$69,400",1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,0,0,1,0,0,1,1,0,0,0,0,0,41.8361963,-87.62655913
137,137,138,=137,Pepperdine University,62.9,138,16.2,253,16.3,241,23.7,139,6.7,161,592001,California,"$51,992","$14,870","$61,933",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,0,1,1,1,1,0,1,0,1,34.0414045,-118.7095814
138,138,139,139,Rhode Island School of Design,62.7,139,19.8,113,14.2,756,22.8,160,5.9,262,594422,Rhode Island,"$48,470","$13,050","$47,400",0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41.82697705,-71.40574511
139,139,140,140,Yeshiva University,62.3,140,22.0,70,13.6,786,23.0,156,3.7,566,619,New York,"$42,000","$11,950","$56,800",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,0,1,0,0,1,0,1,0,1,1,1,1,0,1,0,0,34.0555657,-118.3878557
140,140,141,=141,Sewanee-The University of the South,62.2,141,21.1,86,15.2,579,23.0,155,2.9,673,594563,Tennessee,"$41,084","$12,880","$42,233",0,0,1,0,1,0,1,1,1,0,1,1,1,0,1,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,35.20344,-85.91967
141,141,142,=141,Willamette University,62.2,142,19.6,116,14.9,662,21.3,224,6.4,203,594113,Oregon,"$48,158","$11,880","$49,833",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,1,1,0,0,1,44.9355889,-123.0308129
142,142,143,=143,Brigham Young University-Provo,62.1,143,12.2,457,17.7,5,30.3,57,2.0,765,594740,Utah,"$5,460","$7,530","$57,900",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,1,40.25501105,-111.64965659999999
143,143,144,=143,Elon University,62.1,144,18.5,147,17.5,19,23.3,144,2.8,681,593786,North Carolina,"$34,273","$11,869","$49,133",0,1,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,0,1,1,1,1,0,1,0,1,36.10652745,-79.50283881
144,144,145,=143,Hobart and William Smith Colleges,62.1,145,21.0,88,15.4,517,22.1,184,3.6,572,593564,New York,"$53,525","$14,250","$51,100",0,1,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,0,1,0,0,0,42.8572633,-76.987228
145,145,146,=143,The College of Wooster,62.1,146,20.0,112,15.5,497,21.9,199,4.7,435,594008,Ohio,"$48,600","$11,400","$46,033",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,0,1,0,1,0,0,40.81161765,-81.93385832
146,146,147,147,University of Georgia,62.0,147,11.2,506,17.4,29,28.9,67,4.5,454,675,Georgia,"$30,392","$10,060","$48,767",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,33.9404278,-83.37304905
147,147,148,=148,University of Delaware,61.8,148,16.7,232,16.9,96,23.8,134,4.4,470,644,Delaware,"$33,150","$12,332","$55,667",1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,1,1,1,1,1,1,0,1,0,1,39.6810328,-75.7540184
148,148,149,=148,Furman University,61.8,149,20.8,93,16.2,255,22.1,183,2.6,703,594455,South Carolina,"$48,348","$12,158","$47,933",0,0,1,1,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,34.92577435,-82.43852581
149,149,150,=150,University of Iowa,61.7,150,15.2,301,16.8,119,24.8,122,4.9,401,606,Iowa,"$30,609","$10,450","$50,400",1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,41.6658499,-91.57310735
150,150,151,=150,University of San Diego,61.7,151,15.3,298,15.2,578,24.1,132,7.1,116,592016,California,"$47,708","$12,630","$58,733",0,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,0,1,1,1,1,0,1,0,0,32.77259675,-117.189163
151,151,152,=150,Spelman College,61.7,152,17.2,210,15.6,466,23.1,150,5.8,276,592295,Georgia,"$28,181","$13,461","$46,600",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,0,0,1,0,0,33.74556485,-84.41110527
152,152,153,=153,The Catholic University of America,61.6,153,23.4,44,15.8,376,17.7,352,4.7,426,592136,District of Columbia,"$44,060","$14,316","$55,500",1,1,1,0,1,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,1,0,0,38.939102399999996,-76.99996417
153,153,154,=153,"Binghamton University, State University of New York",61.6,154,11.7,478,16.0,323,26.8,87,7.1,115,771,New York,"$24,403","$14,577","$59,400",1,0,1,1,1,1,1,1,1,1,1,1,1,0,0,0,1,0,1,1,0,1,1,1,1,1,1,1,1,0,0,42.08925,-75.96989
154,154,155,=155,Berea College,61.4,155,18.8,133,15.8,373,19.5,281,7.4,95,592649,Kentucky,"$25,760","$6,534","$32,967",0,0,1,1,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,37.571749600000004,-84.2902111
155,155,156,=155,Rochester Institute of Technology,61.4,156,18.0,164,17.3,44,20.8,235,5.2,356,131644,New York,"$40,068","$12,666","$60,767",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,40.3430942,-74.655074
156,156,157,157,Sarah Lawrence College,61.1,157,20.4,103,13.3,795,21.5,214,6.0,249,593663,New York,"$54,010","$14,856","$39,967",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,40.9344239,-73.84497733
157,157,158,=158,Chapman University,60.9,158,14.8,318,16.3,230,24.3,126,5.5,313,591932,California,"$50,594","$14,910","$52,167",0,0,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,0,1,1,1,1,0,1,0,0,33.79338165,-117.8516896
158,158,159,=158,University of Colorado Boulder,60.9,159,14.4,345,16.2,253,25.5,103,4.9,395,541,Colorado,"$36,220","$13,998","$48,867",1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,40.00687815,-105.27277600000001
159,159,160,=160,Allegheny College,60.7,160,20.4,101,15.5,471,20.4,246,4.4,466,594119,Pennsylvania,"$45,970","$11,650","$49,500",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,0,0,0,0,0,0,41.6492228,-80.14783790000001
160,160,161,=160,University of Massachusetts Amherst,60.7,161,14.8,321,16.3,235,24.5,123,5.1,365,595223,Massachusetts,"$33,477","$12,258","$50,133",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42.3869382,-72.52991477
161,161,162,=160,Ohio Northern University,60.7,162,19.6,115,16.9,102,22.0,190,2.2,750,593966,Ohio,"$30,990","$11,270","$61,500",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,0,0,1,0,1,1,1,1,0,1,0,1,40.7660636,-83.83356383
162,162,163,=160,Stevens Institute of Technology,60.7,163,17.8,172,14.1,767,23.8,136,5.0,389,589226,New Jersey,"$50,554","$14,400","$86,733",1,0,0,1,0,1,1,1,1,1,1,1,0,1,0,0,1,0,1,1,0,1,0,1,1,1,0,0,0,0,0,40.7448096,-74.02524356
163,163,164,164,University of San Francisco,60.4,164,15.1,305,15.5,490,21.4,217,8.4,31,131580,California,"$46,250","$14,330","$60,833",0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,0,1,0,1,0,1,1,1,1,0,0,0,1,37.7793266,-122.45144009999999
164,164,165,=165,Marquette University,60.3,165,16.0,264,17.1,71,23.2,149,4.0,519,594980,Wisconsin,"$39,870","$11,890","$59,200",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,43.03889625,-87.9315545
165,165,166,=165,Texas Christian University,60.3,166,16.9,226,17.5,24,22.0,192,3.9,542,594713,Texas,"$44,760","$12,360","$50,900",0,0,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,0,1,0,1,1,1,1,1,1,0,1,0,1,32.7080148,-97.36119385
166,166,167,=167,Baylor University,60.0,167,17.6,185,17.7,4,20.5,244,4.2,490,594605,Texas,"$43,790","$12,163","$49,733",0,0,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,31.55043405,-97.11029056
167,167,168,=167,Muhlenberg College,60.0,168,18.6,142,15.3,555,22.6,166,3.6,578,594278,Pennsylvania,"$50,830","$11,420","$57,000",0,0,1,0,1,0,1,1,1,1,1,1,1,0,1,0,1,1,0,1,0,1,1,1,1,1,1,1,0,0,0,40.59782395,-75.51061576
168,168,169,169,Colorado School of Mines,59.8,169,15.7,275,14.6,702,25.2,108,4.3,480,673,Colorado,"$37,436","$11,897","$80,900",1,0,0,1,0,1,1,0,1,0,0,0,1,1,0,0,0,0,1,1,0,1,0,0,1,0,0,0,0,0,0,39.74906405,-105.22298219999999
169,169,170,=170,California Institute of the Arts,59.7,170,19.7,114,14.0,769,19.1,293,7.0,119,591926,California,"$47,446","$11,757","$35,500",0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.39231695,-118.56667240000002
170,170,171,=170,Samford University,59.7,171,18.1,159,17.8,3,21.5,213,2.2,752,591803,Alabama,"$30,490","$10,280","$47,333",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,1,0,1,1,1,1,1,1,1,0,1,0,1,33.46414845,-86.79395917
171,171,172,=172,Butler University,59.6,172,18.5,146,16.8,112,22.2,176,2.0,766,592475,Indiana,"$39,960","$13,030","$55,433",0,0,1,0,1,0,0,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,39.8407191,-86.17374943
172,172,173,=172,University of Detroit Mercy,59.6,173,20.5,99,15.4,508,18.3,322,5.4,322,593042,Michigan,"$41,158","$9,452","$46,267",0,1,1,1,1,1,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,0,1,1,1,1,1,1,1,0,0,42.414477000000005,-83.13788292
173,173,174,=172,Loyola University Chicago,59.6,174,15.1,304,16.7,145,22.1,185,5.7,289,592394,Illinois,"$42,828","$14,080","$52,267",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,0,1,0,1,1,1,1,0,1,0,0,41.999149200000005,-87.65737042
174,174,175,=172,Ursinus College,59.6,175,17.7,182,15.8,399,22.2,181,3.9,543,594377,Pennsylvania,"$50,360","$12,560","$53,667",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,0,40.195408799999996,-75.45531989
175,175,176,=176,Fordham University,59.4,176,15.0,307,16.1,293,22.2,177,6.2,222,593552,New York,"$50,601","$17,445","$57,600",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,0,1,1,1,1,0,1,1,1,1,1,0,1,1,0,0,40.86173435,-73.88603169
176,176,177,=176,Linfield College - McMinnville campus,59.4,177,17.9,166,15.7,418,20.8,234,5.1,364,594092,Oregon,"$41,646","$12,380","$53,267",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,45.1983055,-123.19814070000001
177,177,178,=176,St Olaf College,59.4,178,18.6,144,16.1,305,20.8,236,3.9,541,593159,Minnesota,"$46,000","$10,430","$47,567",0,0,1,0,1,0,1,1,1,0,1,1,1,0,0,1,1,0,0,1,0,1,0,1,1,0,1,0,1,0,1,44.46383005,-93.18722889
178,178,179,=176,Virginia Military Institute,59.4,179,18.3,154,14.6,712,24.0,133,2.4,728,594845,Virginia,"$43,902","$9,236","$62,700",0,0,1,0,0,1,0,1,1,0,0,1,1,1,0,0,1,0,1,1,0,1,0,1,1,0,0,0,0,0,0,37.79133385,-79.4355152
179,179,180,=176,Washington State University,59.4,180,13.7,383,17.2,63,22.3,175,6.2,231,814,Washington,"$25,817","$11,356","$48,900",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,46.73357155,-117.1452759
180,180,181,=181,Kalamazoo College,59.3,181,16.9,220,14.8,670,21.5,211,6.1,237,593060,Michigan,"$46,840","$9,390","$49,400",0,0,1,0,1,0,0,1,1,0,1,1,1,0,0,0,1,0,0,1,0,1,1,1,1,1,0,1,0,0,0,42.2907304,-85.59937672
181,181,182,=181,Wheaton College (Illinois),59.3,182,18.1,160,16.0,331,21.9,198,3.3,618,592463,Illinois,"$35,190","$9,806","$45,367",0,0,1,1,1,0,1,1,1,0,1,1,1,0,0,0,1,1,0,1,0,1,1,1,1,1,1,0,1,0,0,41.86963745,-88.09755525
182,182,183,183,University of Colorado Denver,59.2,183,17.4,195,15.1,592,20.5,245,6.2,218,592058,Colorado,"$25,259",,"$55,833",0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,39.7428324,-105.0059152
183,183,184,184,George Mason University,59.1,184,10.9,521,15.5,475,25.8,99,6.9,137,778,Virginia,"$34,370","$12,028","$58,433",0,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,1,1,1,1,1,1,1,1,0,1,0,1,38.83133325,-77.30798839
184,184,185,=185,Ohio Wesleyan University,59.0,185,20.5,100,16.6,171,18.2,330,3.7,563,593981,Ohio,"$44,690","$12,460","$43,833",0,0,1,0,1,0,1,1,1,1,1,1,1,0,0,1,1,1,0,1,1,1,1,1,1,1,1,1,1,0,1,40.292858,-83.06427625
